id,name,parent_id/id
res_partner_category_ape_1081z,Fabrication de sucre,res_partner_category_ape
res_partner_category_ape_1082z,"Fabrication de cacao, chocolat et de produits de confiserie",res_partner_category_ape
res_partner_category_ape_1083z,Transformation du thé et du café,res_partner_category_ape
res_partner_category_ape_1084z,Fabrication de condiments et assaisonnements,res_partner_category_ape
res_partner_category_ape_1085z,Fabrication de plats préparés,res_partner_category_ape
res_partner_category_ape_1086z,Fabrication d'aliments homogénéisés et diététiques,res_partner_category_ape
res_partner_category_ape_1089z,Fabrication d'autres produits alimentaires n.c.a.,res_partner_category_ape
res_partner_category_ape_1091z,Fabrication d'aliments pour animaux de ferme,res_partner_category_ape
res_partner_category_ape_1092z,Fabrication d'aliments pour animaux de compagnie,res_partner_category_ape
res_partner_category_ape_1101z,Production de boissons alcooliques distillées,res_partner_category_ape
res_partner_category_ape_1102a,Fabrication de vins effervescents,res_partner_category_ape
res_partner_category_ape_1102b,Vinification,res_partner_category_ape
res_partner_category_ape_1103z,Fabrication de cidre et de vins de fruits,res_partner_category_ape
res_partner_category_ape_1104z,Production d'autres boissons fermentées non distillées,res_partner_category_ape
res_partner_category_ape_1105z,Fabrication de bière,res_partner_category_ape
res_partner_category_ape_1106z,Fabrication de malt,res_partner_category_ape
res_partner_category_ape_1107a,Industrie des eaux de table,res_partner_category_ape
res_partner_category_ape_1107b,Production de boissons rafraîchissantes,res_partner_category_ape
res_partner_category_ape_1200z,Fabrication de produits à base de tabac,res_partner_category_ape
res_partner_category_ape_1310z,Préparation de fibres textiles et filature,res_partner_category_ape
res_partner_category_ape_1320z,Tissage,res_partner_category_ape
res_partner_category_ape_1330z,Ennoblissement textile,res_partner_category_ape
res_partner_category_ape_1391z,Fabrication d'étoffes à mailles,res_partner_category_ape
res_partner_category_ape_1392z,"Fabrication d'articles textiles, sauf habillement",res_partner_category_ape
res_partner_category_ape_1393z,Fabrication de tapis et moquettes,res_partner_category_ape
res_partner_category_ape_1394z,"Fabrication de ficelles, cordes et filets",res_partner_category_ape
res_partner_category_ape_1395z,"Fabrication de non-tissés, sauf habillement",res_partner_category_ape
res_partner_category_ape_1396z,Fabrication d'autres textiles techniques et industriels,res_partner_category_ape
res_partner_category_ape_1399z,Fabrication d'autres textiles n.c.a.,res_partner_category_ape
res_partner_category_ape_1411z,Fabrication de vêtements en cuir,res_partner_category_ape
res_partner_category_ape_1412z,Fabrication de vêtements de travail,res_partner_category_ape
res_partner_category_ape_1413z,Fabrication de vêtements de dessus,res_partner_category_ape
res_partner_category_ape_1414z,Fabrication de vêtements de dessous,res_partner_category_ape
res_partner_category_ape_1419z,Fabrication d'autres vêtements et accessoires,res_partner_category_ape
res_partner_category_ape_1420z,Fabrication d'articles en fourrure,res_partner_category_ape
